ts	score	is_pf	is_pnl_pct	is_trades	oos_pf	oos_pnl_pct	oos_trades	status	description
20260710T101738	-16.5129	99.000	0.633	1	0.000	-1.131	1	round_R3_structure	fib_zone=golden, max_hold_bars=64
20260710T101739	-16.5129	99.000	0.633	1	0.000	-1.131	1	round_R3_structure	max_hold_bars=96, max_hold_bars=64
20260710T101739	-16.5129	99.000	0.633	1	0.000	-1.131	1	round_R3_structure	max_hold_bars=32
20260710T101739	-16.5129	99.000	0.633	1	0.000	-1.131	1	round_R3_structure	one_entry_per_swing=False
20260710T101740	-16.5129	99.000	0.633	1	0.000	-1.131	1	round_R3_structure	right_bars=2
20260710T101740	-16.8508	99.000	1.059	1	0.000	-1.214	1	round_R3_structure	sl_atr=1.5, max_hold_bars=32
20260710T101741	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R3_structure	require_ema_stack=True
20260710T101741	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R3_structure	require_candle=False, sl_atr=2.5
20260710T101742	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R3_structure	left_bars=7
20260710T101742	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R3_structure	max_hold_bars=32
20260710T101743	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R3_structure	invalidate_mode=wick
20260710T101743	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R3_structure	tp_atr=3.0
20260710T101744	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R3_structure	fib_zone=wide
20260710T101744	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R3_structure	tp_atr=1.5
20260710T101745	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R3_structure	rsi_short=60.0
20260710T101745	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R3_structure	right_bars=2
20260710T101746	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R3_structure	rsi_short=60.0, rsi_short=55.0
20260710T101746	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R3_structure	invalidate_mode=wick
20260710T101747	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R3_structure	left_bars=3
20260710T101747	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R3_structure	sl_atr=1.5
20260710T101747	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R3_structure	one_entry_per_swing=False, invalidate_mode=close
20260710T101748	-16.5129	99.000	0.633	1	0.000	-1.131	1	round_R3_structure	require_ema_stack=False
20260710T101748	-16.5129	99.000	0.633	1	0.000	-1.131	1	round_R3_structure	require_ema_stack=False
20260710T101749	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R3_structure	left_bars=5
20260710T101749	-16.5129	99.000	0.633	1	0.000	-1.131	1	round_R3_structure	require_ema_stack=False
20260710T101750	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R3_structure	left_bars=3
20260710T101750	-16.5129	99.000	0.633	1	0.000	-1.131	1	round_R3_structure	require_ema_stack=False
20260710T101751	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R3_structure	fib_zone=golden, fib_zone=golden
20260710T101751	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R3_structure	require_candle=False
20260710T101752	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R3_structure	right_bars=2
20260710T101752	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R3_structure	right_bars=2
20260710T101753	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R3_structure	rsi_short=60.0
20260710T101753	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R3_structure	invalidate_mode=close
20260710T101753	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R3_structure	rsi_long=45.0, sl_atr=2.0
20260710T101754	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R3_structure	require_candle=True
20260710T101754	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R3_structure	invalidate_mode=none, tp_atr=2.5
20260710T101755	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R3_structure	rsi_short=55.0
20260710T101755	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R3_structure	fib_zone=wide
20260710T101756	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R3_structure	fib_zone=mid
20260710T101756	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R3_structure	sl_atr=1.5
20260710T101757	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R3_structure	max_hold_bars=64
20260710T101757	-15.0000	0.000	0.000	0	0.000	0.000	0	round_R3_structure	rsi_long=35.0
20260710T101927	-246.5303	0.266	-297.516	474	0.175	-195.545	305	round_R1_zone_volume_seed	Widen Fib entry bands (golden/mid/wide/shallow) and soft RSI; raise informative trade count without new AND filters.
20260710T101928	-74.8243	0.347	-112.464	246	0.374	-37.184	95	round_R1_zone_volume	fib_timeframe=1d
